Aachen,http://2016.igem.org/Team:Aachen,iGEM Aachen,http://www.facebook.com/129361660587855
AHUT_China,http://2016.igem.org/Team:AHUT_China,IGEM XMU-China,http://www.facebook.com/1067638406629389
Ain_Shams-Egypt,http://2016.igem.org/Team:Ain_Shams-Egypt,IGEM Egypt,http://www.facebook.com/1195227873855594
Aix-Marseille,http://2016.igem.org/Team:Aix-Marseille,IGEM Aix-Marseille Universit├®,http://www.facebook.com/1428195684098380
ASIJ_Tokyo,http://2016.igem.org/Team:ASIJ_Tokyo,IGEM UT-Tokyo,http://www.facebook.com/131664217006675
ATOMS_Turkiye,http://2016.igem.org/Team:ATOMS_Turkiye,Atoms_turkiye igem,http://www.facebook.com/171770076320901
BGIC_China,http://2016.igem.org/Team:BGIC_China,IGEM XMU-China,http://www.facebook.com/1067638406629389
BGU_ISRAEL,http://2016.igem.org/Team:BGU_ISRAEL,iGEM BGU,http://www.facebook.com/1386142151601470
BHU_China,http://2016.igem.org/Team:BHU_China,IGEM XMU-China,http://www.facebook.com/1067638406629389
Bielefeld-CeBiTec,http://2016.igem.org/Team:Bielefeld-CeBiTec,IGEM Bielefeld,http://www.facebook.com/244094752286371
Bilkent-UNAMBG,http://2016.igem.org/Team:Bilkent-UNAMBG,Bilkent UNAM IGEM 2016,http://www.facebook.com/206168283075701